ID,HOF_S(kJ/mol),smiles
DAVXAZ,-426.3,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,-425.7,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXIH,-591.4,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,-612.9,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,-615.9,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVYAA,-767.2,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O
DAWNAQ,-522.8,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAWNEU,-523.1,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAXMUL,-848.9,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-]
DAYPUP,77.5,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,-139.7,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,-714.3,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,-719.1,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,-425.8,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,-613.2,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,-600.8,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,-783.1,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,27,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,189.1,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,-314.1,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,-612.5,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,-443.7,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,-429.4,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,-433.6,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,-446,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,-451.2,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,-611.4,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,-409.6,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,-102.9,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,-249.1,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,107.1,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,-471.6,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,-237.6,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,-416.2,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,-356.3,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,-88.4,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,-168,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,839.2,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,-377.8,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,-412.8,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,155,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,-30.1,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,-547.5,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,-121,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,-74.5,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,-296,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,-731.6,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,-36.2,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,-778.1,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,-8.3,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,-263.1,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,-514.6,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,-55.6,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,-59.9,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,-280.6,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,136.5,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,-58.5,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,-64.8,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,30.4,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,-222.9,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,-218.4,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,-19.7,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,53.9,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,-57.9,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,-12.6,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,-406.1,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,-367.9,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,-186.8,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,-440.8,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,140.9,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,121.6,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,-485.4,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,-255.6,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,-271.6,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,-325.9,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,-275,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,-280.8,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,-321.3,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,-35.4,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,-11,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,-268.1,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,-163,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,-193.4,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,-431,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,-455.9,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,-236,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,-4.5,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,-183.3,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,-376.8,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,-448.6,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,-91,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,-634.1,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,-50.8,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,154.1,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,9.4,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,-205.4,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,-114.7,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,140.5,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,-488.6,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,6,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,247.7,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,367.8,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,-88.5,[O-][N+](=O)/C=C\N
EDOREW,580.1,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,117.5,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,-412.1,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,-414.8,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,-398.4,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,-661,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,-216.7,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,-601.6,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,109.4,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,263.3,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,187.3,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,-101.1,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,-101.6,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,-10.9,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,84.8,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,-424.3,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,72.3,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,-48.9,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,70.3,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,-191.4,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,-210.3,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,78.8,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,-258.7,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,-280.5,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,-118.6,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,-512,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,-337.9,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,-650.8,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,-281.2,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,62,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,-354.7,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,-154.8,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,-128.6,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,70.6,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,-278.7,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,-463.2,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,-186.5,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,-244.3,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,-252.8,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,115.9,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,5.7,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,-121.9,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,12.6,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,48,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,-107.2,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,-118.8,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,-142.8,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,-517.3,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,-57.9,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,-309.3,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,17.9,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,-461.9,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,-437.7,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,50.8,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,-122.6,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,-349.9,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,60.6,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,-398.8,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,312.2,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,-408.3,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,-7.7,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,-435,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,-444,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,-185.1,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,94,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,-35.5,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,-286.4,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,36.8,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,20.8,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,-301.6,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,101.6,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,650.2,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,-185.9,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,-650,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,-474.9,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,5,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,-236.2,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,-11.5,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,16.6,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,39.9,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,6.1,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,-99.3,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,-98.3,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,10.2,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,93.2,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,600.1,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,-760.2,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,-514.5,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,-201.6,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,-352.9,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,-540.4,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,-256.1,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,-208.3,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,-170.5,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,-539.7,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,-33.5,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,305.3,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,-297.4,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,-148.4,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,-109.9,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,81.9,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,-406.3,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,-141.2,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,-580.4,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,-300,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,48.2,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,634.8,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,36.1,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,-215.7,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,-633.2,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,-718.1,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,-322.2,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,55.6,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,-657.9,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,8,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,-68.6,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,-377.3,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,-377.7,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,-650.3,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,-86,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,-54.3,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,-73.2,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,-284.9,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,-195.7,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,161.9,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,-636.6,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,71.7,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,87.4,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,-204.8,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,-247.3,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,-201.9,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,-291.8,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,-80,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,-49.3,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,11.5,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,-380.7,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,-306.7,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,10.8,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,332.6,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,325.1,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,-150.6,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,706.2,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,-11.9,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
GAQMOB,82.9,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
GARBUY,-470.9,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N
GATPEW,143.6,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
GATYIK,-202.1,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2
