ID,HOF_S(kJ/mol),smiles
AZAXEG,-336.1,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-]
AZILOM01,-129.8,O=C(c1ccco1)N/N=C/c1ccccc1[N+](=O)[O-]
AZIWUD,-208.9,O=C(/N=C/1\NCCN1c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
AZORUD,115.1,[O-][N+](=O)c1ccc(cc1)/N=C/c1c2ccccc2cc2c1cccc2
BABBUB,0.6,[O-][N+](=O)N=C1NCCN1
BABRIF,220.8,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1
BAFGUL01,-90.5,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-]
BAFHAS,-85.1,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAFHEW,-88.6,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAJBUJ,-938.9,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC
BAKLII,-258.8,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O
BAKXOB,-72.3,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BALYAR,-471.7,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
BANFIG,-136.6,NNC(=O)c1cccc(c1)[N+](=O)[O-]
BANHOO01,-32.6,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
BAPXIB,-925.8,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,-422,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,39,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,-937.6,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,-694.5,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,-587.2,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,-85,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,-80.3,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,-210.4,COc1cc(ccc1[N+](=O)[O-])N(C)C
BCBDNT,-88.9,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2
BCONBZ10,-516.5,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1
BEBVUZ,-17,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
BEDROT,-361.1,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
BEDWOX01,-288.1,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-]
BEKDAW,15.4,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-]
BELMOU,-50.7,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1
BENVEW,-493.9,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
BEPQET,-85.3,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
