ID,DetoP(GPa),smiles
BAPXIB,9.5,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,18.1,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,7.9,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,14.9,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,8.2,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,16.6,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,8.5,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,9.1,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,9.3,COc1cc(ccc1[N+](=O)[O-])N(C)C
BCBDNT,18.3,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2
BCONBZ10,9.1,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1
BEBVUZ,6.1,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
BEDROT,10.4,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
BEDWOX01,9.9,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-]
BEKDAW,8.4,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-]
BELMOU,10.7,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1
BENVEW,14.5,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
BEPQET,6,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
BEQTUP,8.2,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-]
BETVUR,5.6,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2
BETWAY,5.8,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2
BEXWEI,7.6,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C
BEYZEK,10.8,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
BICNUW,11.2,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-]
BICWEP,27.2,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
BIHVIY,9,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-]
BIHVOE,18,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BIHVUK,7.9,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
BIKKUE,5.5,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1
