ID,DetoP(GPa),smiles
DAVXIH,15.8,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,15.3,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,15.1,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVYAA,13,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O
DAWNAQ,12.4,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAWNEU,12.5,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAXMUL,10.9,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-]
DAYPUP,9.2,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,5.5,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,10.6,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,13.6,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,16.1,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,17.3,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,18.1,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,19.6,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,8.5,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,10.6,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,9.5,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,11.9,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,14.2,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,15,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,14.5,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,10.1,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,10.2,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,12,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,14.9,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,8.4,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,13.8,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,6,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,9,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,9.8,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,6.6,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,7,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,4.3,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,6.8,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,28.5,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,7.8,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,9.4,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,11.2,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,7.3,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,5.1,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,39.8,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,8.8,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,9.5,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,36.2,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,6.3,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,6.6,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,6.2,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,9.3,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,7,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,13.4,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,16.6,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,10.9,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,13.5,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,30.9,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,16.2,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,20.9,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,19.4,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,20.3,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,15.1,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,24.5,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,9.2,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,12.6,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,6.4,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,13.2,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,8.4,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,6.3,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,5.1,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,5.3,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,10,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,14.8,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,17.1,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,12.6,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,5.6,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,6.4,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,8.5,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,7.7,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,7.6,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,9,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,11.5,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,7.3,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,7.3,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,11.4,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,7.9,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,24,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,16.8,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,22.5,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,13.7,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,10.2,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,18.5,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,10.7,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,7.5,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,9.5,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,9.2,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,5.2,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,10.7,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,5.6,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,9.3,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,37.1,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,8.9,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,18.8,[O-][N+](=O)/C=C\N
EDOREW,26.2,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,9.2,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,7.7,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,7.6,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,7.3,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,12.4,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,7.2,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,6.6,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,21.4,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,6.5,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,11.8,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,7.6,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,8.7,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,7,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,29.6,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,5.8,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,33.2,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,26.8,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,33.4,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,14.7,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,6.9,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,19.2,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,6.2,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,7,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,7.6,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,6.9,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,6.6,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,15.9,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,10.4,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,6.5,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,8.5,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,5.6,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,7.2,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,27.1,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,10.2,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,10.1,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,4.6,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,5.9,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,5.9,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,10.8,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,6.5,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,10,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,8.2,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,11,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,6.2,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,6.3,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,16.6,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,10.1,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,7.4,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,9,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,11.4,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,11.8,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,12.3,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,28.4,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,9.4,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,12.1,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,11.4,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,8.3,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,24.5,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,15.9,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,7.4,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,7.8,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,7.7,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,7.5,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,9.1,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,6.9,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,5.1,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,32.6,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,5.5,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,7.8,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,10.9,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,27.7,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,6.5,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,8.3,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,8.5,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,5,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,7.1,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,5,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,7,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,7.8,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,11.5,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,7.5,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,12.8,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,4.3,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,9.8,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,27.9,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,7.9,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,7,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,8.3,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,10.7,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,7,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,9.3,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,17,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,16.9,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,6.9,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,13.7,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,33.5,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,9.6,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,14.3,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,7.7,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,9.4,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,5.5,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,18.4,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,11.3,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,10.2,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,8.7,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,31.5,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,5,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,10.8,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,9.3,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,6.5,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,11,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,6.8,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,6.4,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,6.7,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,24.6,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,6.1,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,6.3,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,10.7,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,10,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,6.2,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,8,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,8.1,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,22.9,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,8.1,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,20.5,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,35.6,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,12.2,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,10.3,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,10,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,7.3,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,11.9,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,9.1,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,6.1,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,10.5,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,10.9,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,8.1,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,9.4,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,15.8,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,12.3,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,10.8,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,28.5,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,12.5,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
GAQMOB,11,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
GARBUY,11.8,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N
GATPEW,6.9,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
GATYIK,8.9,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2
GAVGIU,6.3,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAWBOW,7.9,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O
GAWGUH,5.2,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAXGOE,8.4,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-]
GAZBEQ,7.4,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-]
GECCUM,6.2,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-]
GECPEL,7.6,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-]
