ID,DetoQ(J/g),SMILES,,,,,,,,,,DetoQ
CUMQEI,2362,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1,,,,,,,,,,2.362
CUNCOE,2653,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.653
CUNGAT,3923,CN/C=C/[N+](=O)[O-],,,,,,,,,,3.923
CUNTOU,2706,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C,,,,,,,,,,2.706
CUNVAI,3985,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,,,,,,,,,,3.985
CUNWEN,3325,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.325
CUPPIO,1908,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.908
CUPQEL,1912,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.912
CUPSAJ,1987,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,1.987
CURNIO,2723,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1,,,,,,,,,,2.723
CUTWIX,3723,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,,,,,,,,,,3.723
CUTWOD,3731,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,,,,,,,,,,3.731
CUTWUJ,3750,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,,,,,,,,,,3.75
CUTXAQ,2667,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C,,,,,,,,,,2.667
CUTXUL,1795,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O,,,,,,,,,,1.795
CUVXOG,6122,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.122
CUZDEG,4592,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.592
CUZMOZ,4090,[O-][N+](=O)c1ccn(n1)C,,,,,,,,,,4.09
CUZMUF,4127,Cn1ncc(c1)[N+](=O)[O-],,,,,,,,,,4.127
DABRIK,2261,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.261
DABTEI,2527,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC,,,,,,,,,,2.527
DACYEL,4362,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,,,,,,,,,,4.362
DACZIT,1822,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1,,,,,,,,,,1.822
DADQIJ,3125,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,3.125
DAFBOB,2621,[O-][N+](=O)/C=C/1\CCCN1C,,,,,,,,,,2.621
DAFGAS,5511,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.511
DAGREJ,1479,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O,,,,,,,,,,1.479
DAHLAZ,2492,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1,,,,,,,,,,2.492
DAJXUH,4011,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-],,,,,,,,,,4.011
DAPJOU,5025,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.025
DARQUJ,2056,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1,,,,,,,,,,2.056
DARRAQ,3320,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,,,,,,,,,,3.32
DARWAX,3766,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-],,,,,,,,,,3.766
DARWEB,2799,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.799
DATGEL,2044,[O-][N+](=O)c1ccc(c(c1N)C)C,,,,,,,,,,2.044
DATNBZ01,4949,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,,,,,,,,,,4.949
DAVKET,1629,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.629
DAVQOH,3910,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.91
DAVXAZ,4875,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.875
DAVXED,4877,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.877
DAVXIH,4222,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.222
DAVXON,4151,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O,,,,,,,,,,4.151
DAVXUT,4141,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O,,,,,,,,,,4.141
DAVYAA,3393,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O,,,,,,,,,,3.393
DAWNAQ,3715,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],,,,,,,,,,3.715
DAWNEU,3714,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],,,,,,,,,,3.714
DAXMUL,2231,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.231
DAYPUP,3205,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,3.205
DEGLEH,1255,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1,,,,,,,,,,1.255
DEJWEU,3165,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.165
DEJWIY,3821,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.821
DEKYUO,3946,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O,,,,,,,,,,3.946
DEKZAV,3725,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O,,,,,,,,,,3.725
DEKZEZ,3776,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O,,,,,,,,,,3.776
DEKZID,3598,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O,,,,,,,,,,3.598
DELPEQ,2645,CC(=NNc1ccccc1[N+](=O)[O-])C,,,,,,,,,,2.645
DELXEX,3547,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-],,,,,,,,,,3.547
DELXOH,3325,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34,,,,,,,,,,3.325
DELZAV,3372,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-],,,,,,,,,,3.372
DELZEZ,4099,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.099
DEMNIS,4336,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.336
DEMNOY,4322,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-],,,,,,,,,,4.322
DEMNUE,3154,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C,,,,,,,,,,3.154
DEMPAM,3133,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-],,,,,,,,,,3.133
DEMPIU,3255,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-],,,,,,,,,,3.255
DEMSOD,4183,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.183
DENCAA,2780,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-],,,,,,,,,,2.78
DEPVUP,4360,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-],,,,,,,,,,4.36
DEQPUN,2117,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-],,,,,,,,,,2.117
DEWBOW,1886,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-],,,,,,,,,,1.886
DEXJAU,2750,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-],,,,,,,,,,2.75
DEXVAE,1928,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1,,,,,,,,,,1.928
DEXVUY,2152,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-],,,,,,,,,,2.152
DEYRUV,1475,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.475
DEZTAD,2178,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1,,,,,,,,,,2.178
DIBRUE,5828,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-],,,,,,,,,,5.828
DIDHIJ,1850,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-],,,,,,,,,,1.85
DIDWIY,2642,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O,,,,,,,,,,2.642
DIFPUF,3959,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2,,,,,,,,,,3.959
DIHNOY,2716,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1,,,,,,,,,,2.716
DIJPAO,1391,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.391
DILFUZ,6745,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.745
DIMNAN03,2465,CN(c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,2.465
DIPHUI,1901,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-],,,,,,,,,,1.901
DIQRON,5753,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-],,,,,,,,,,5.753
DIWFEU,2091,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.091
DIWSUY,1541,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC,,,,,,,,,,1.541
DIWWEL02,2200,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C,,,,,,,,,,2.2
DIXDUJ,2570,CC(=O)Nc1ccccc1[N+](=O)[O-],,,,,,,,,,2.57
DMNPPO,1826,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-],,,,,,,,,,1.826
DMNPYO,3988,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-],,,,,,,,,,3.988
DNBENZ10,4872,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,4.872
DNBZIL,3609,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.609
DNCOOC,5466,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-],,,,,,,,,,5.466
DNEDAM,5769,[O-][N+](=O)NCCN[N+](=O)[O-],,,,,,,,,,5.769
DNEIBA,4371,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.371
DNITPY,5243,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-],,,,,,,,,,5.243
DNOPHL03,4633,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O,,,,,,,,,,4.633
DNPHOL,4657,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.657
DNPIMZ,4749,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,4.749
DNPMTA,4685,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-],,,,,,,,,,4.685
DNTDPH,3736,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.736
DNTNAP10,4181,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-],,,,,,,,,,4.181
DOHFEL,1871,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1,,,,,,,,,,1.871
DOJHAM,3954,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C,,,,,,,,,,3.954
DOKSIG,2438,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C,,,,,,,,,,2.438
DOKVUV,1842,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1,,,,,,,,,,1.842
DOKYEH,1970,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1,,,,,,,,,,1.97
DOKYIL,1909,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1,,,,,,,,,,1.909
DOKZIN,2115,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-],,,,,,,,,,2.115
DOLTAZ,3119,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2,,,,,,,,,,3.119
DOPLOL05,3758,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N,,,,,,,,,,3.758
DORKOL,3155,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.155
DOWGUR,1632,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.632
DOYLAG,2229,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.229
DOZPAL,2794,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-],,,,,,,,,,2.794
DUCVUT,2546,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,2.546
DUCXEF,2283,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C,,,,,,,,,,2.283
DUDHOB,2403,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C,,,,,,,,,,2.403
DUDNOH,3059,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-],,,,,,,,,,3.059
DUDZIL,2199,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-],,,,,,,,,,2.199
DUJMAW,1831,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.831
DUJQOP,2572,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O,,,,,,,,,,2.572
DUJSIL,2446,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.446
DUKLAX,5526,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.526
DUMPAC,4384,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C,,,,,,,,,,4.384
DUMPEG,5689,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1,,,,,,,,,,5.689
DUMSAG,3811,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.811
DUPHIF,2469,CN(C(=C[N+](=O)[O-])N(C)C)C,,,,,,,,,,2.469
DUPHOL,3798,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C,,,,,,,,,,3.798
DUPJUV,3292,[O-][N+](=O)Cc1nnc(o1)c1ccccc1,,,,,,,,,,3.292
DUSNUB,2646,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1,,,,,,,,,,2.646
DUTQAL,2996,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-],,,,,,,,,,2.996
DUTQOZ,3132,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1,,,,,,,,,,3.132
DUXCEF,1781,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1,,,,,,,,,,1.781
DUXSIY,4225,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N,,,,,,,,,,4.225
EBURUR,1535,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C,,,,,,,,,,1.535
ECIBIB01,3221,CN(c1ccccc1)[N+](=O)[O-],,,,,,,,,,3.221
ECUXOQ,6044,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.044
EDASOR,3188,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-],,,,,,,,,,3.188
EDAWIP,4503,[O-][N+](=O)/C=C\N,,,,,,,,,,4.503
EDOREW,5651,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.651
EFATOW,2961,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-],,,,,,,,,,2.961
EGUQIG,2120,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O,,,,,,,,,,2.12
EGUQOM,2109,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O,,,,,,,,,,2.109
EGUQUS,2172,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O,,,,,,,,,,2.172
EGURIH,3131,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.131
EGUZIQ,2511,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-],,,,,,,,,,2.511
EHECAV,1999,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.999
EIMTNB,5618,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.618
EJEJOS,2270,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1,,,,,,,,,,2.27
EJEPUE,4023,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,4.023
EJEYID,1524,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1,,,,,,,,,,1.524
EKAHOP,2689,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2,,,,,,,,,,2.689
EKAJAD,2552,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1,,,,,,,,,,2.552
EKELAH,5634,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-],,,,,,,,,,5.634
ELEJUB,1811,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],,,,,,,,,,1.811
ELIGEN01,6126,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-],,,,,,,,,,6.126
ELIGOX,4929,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-],,,,,,,,,,4.929
ELIGUD,5664,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.664
ELOXOS,3501,[O-][N+](=O)c1ccc(=O)[nH]c1,,,,,,,,,,3.501
EMAWUL,2657,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O,,,,,,,,,,2.657
EMAZUO,4602,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-],,,,,,,,,,4.602
EMEDOQ,2135,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2,,,,,,,,,,2.135
EMEDUW,2436,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2,,,,,,,,,,2.436
EMOLEZ,2122,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O,,,,,,,,,,2.122
EMOYIO,1725,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-],,,,,,,,,,1.725
ENIZEG,2031,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C,,,,,,,,,,2.031
ENPROP,4168,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.168
EPATAR,2280,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O,,,,,,,,,,2.28
EQASOG,2156,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1,,,,,,,,,,2.156
EQAWEA,2441,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C,,,,,,,,,,2.441
EQEBIN,1508,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-],,,,,,,,,,1.508
ERAWEB,2211,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2,,,,,,,,,,2.211
ERETAW,5132,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-],,,,,,,,,,5.132
ERIWIL,2660,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-],,,,,,,,,,2.66
ERUDAX,2584,COC(=O)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.584
ERUSUH,1695,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.695
ESAMUI,2078,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-],,,,,,,,,,2.078
ESANIX,1751,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-],,,,,,,,,,1.751
ESIRIJ,3997,[O-][N+](=O)c1cccc2c1CN2,,,,,,,,,,3.997
ESIRUV,2209,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1,,,,,,,,,,2.209
ESOLAB,3811,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-],,,,,,,,,,3.811
ETOGOJ,2599,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.599
ETUTIY,3407,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-],,,,,,,,,,3.407
EVALOD,2208,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1,,,,,,,,,,2.208
EVINOM,2078,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2,,,,,,,,,,2.078
EVIXEM,3284,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-],,,,,,,,,,3.284
EVOPIO,2481,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-],,,,,,,,,,2.481
EVULOW,3052,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C,,,,,,,,,,3.052
EVULUC,3460,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC,,,,,,,,,,3.46
EVUMIR,4457,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.457
EWEVIM02,2539,OC(=O)c1ccc(cc1N)[N+](=O)[O-],,,,,,,,,,2.539
EWUKAI,2672,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-],,,,,,,,,,2.672
EWUKIQ01,5130,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-],,,,,,,,,,5.13
EXOQEO,2610,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-],,,,,,,,,,2.61
EYEFOE,3327,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-],,,,,,,,,,3.327
EYIFEZ,3331,[O-][N+](=O)c1ccc(c2c1non2)NCCCC,,,,,,,,,,3.331
EYOGAC,2038,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-],,,,,,,,,,2.038
EYOVIX,5758,COc1c2nonc2c2c(c1[N+](=O)[O-])non2,,,,,,,,,,5.758
EYUFEJ,4014,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-],,,,,,,,,,4.014
EZAYAF,2554,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.554
EZEGAS,2450,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC,,,,,,,,,,2.45
EZEGEW,2422,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC,,,,,,,,,,2.422
