ID,BDE(kJ/mol),smiles
DAVXON,81.8,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,95.7,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVYAA,141.6,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O
DAWNAQ,102.5,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAWNEU,110.2,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAXMUL,308.3,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-]
DAYPUP,271.3,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,300.9,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,269.5,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,243.3,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,262.1,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,256.8,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,267.8,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,259.5,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,311.9,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,300.9,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,278.2,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,154.1,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,129.9,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,85,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,88.6,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,102.8,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,108.8,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,85.5,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,280.4,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,266.7,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,138.3,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,288.9,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,301.5,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,300.2,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,300.2,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,298,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,292.4,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,283.8,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,125.6,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,238.2,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,306.4,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,246.7,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,303.8,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,287.4,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,141.6,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,312,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,313.9,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,131.4,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,295.8,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,257.4,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,248.8,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,300,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,256.2,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,277.4,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,280.9,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,281.4,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,211.8,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,195.4,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,257,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,272.4,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,265.2,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,264.9,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,290.9,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,171.4,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,289.6,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,237.9,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,229.1,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,278.5,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,294.2,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,301.9,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,307.2,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,309.3,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,318.2,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,275.2,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,288.1,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,279.6,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,293.6,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,286.6,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,271.7,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,294.8,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,311.8,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,284.6,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,284.3,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,309.6,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,296,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,305.1,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,295.3,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,169.7,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,158.1,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,147,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,255.5,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,309.8,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,149.7,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,155.1,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,278.3,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,298.4,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,282.5,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,296.3,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,286.4,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,266.7,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,124,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,151.7,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,291.9,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,336.6,[O-][N+](=O)/C=C\N
EDOREW,237.6,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,294.4,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,295.4,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,295.2,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,294.7,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,278,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,262.9,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,284.4,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,253.8,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,270.3,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,291.9,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,316,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,293.9,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,293.6,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,126.2,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,315.7,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,132.5,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,132.4,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,129.2,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,308.2,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,292,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,289.4,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,286.1,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,239.8,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,287.8,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,262.8,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,290.1,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,142.5,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,288.4,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,299.8,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,305.5,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,314.3,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,281.9,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,251,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,283.7,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,301.5,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,294.1,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,292.1,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,305.2,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,294.4,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,291,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,281.7,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,294.9,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,283.6,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,288.9,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,296,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,284.9,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,293.7,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,224.2,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,228.6,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,221.9,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,283.8,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,272.6,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,155.4,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,300.7,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,248.5,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,298.1,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,313.1,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,250.3,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,150.2,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,301.1,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,291.9,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,300,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,270.5,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,265.1,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,263.9,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,304.8,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,246.7,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,273.2,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,305.7,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,230.6,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,194.9,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,246.6,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,277.9,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,277.5,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,308.8,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,286.8,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,297.1,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,309.7,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,304.5,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,295.4,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,245.5,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,230.6,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,290.4,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,309.4,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,256.4,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,287.3,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,295.7,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,301,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,278.4,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,312.3,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,289.9,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,264.5,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,249.8,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,244.6,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,297.8,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,99.4,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,290.7,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,303.8,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,273,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,321.3,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,297.3,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,234.8,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,247.1,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,307.4,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,311,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,177.3,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,296.1,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,300.1,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,293.6,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,290.2,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,299.6,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,265.8,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,300.2,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,279.1,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,255.3,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,291,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,293.2,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,240.9,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,270,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,292.1,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,290.8,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,283,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,160.6,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,222.2,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,183.9,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,146,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,308,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,243.1,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,293.5,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,293.7,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,153.4,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,313.3,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,308,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,313.1,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,266.4,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,291.8,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,275.5,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,260.1,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,286.6,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,228.4,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,257.3,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,296,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
GAQMOB,282,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
GARBUY,305.7,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N
GATPEW,279.6,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
GATYIK,297.2,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2
GAVGIU,272.2,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAWBOW,310.2,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O
GAWGUH,271.8,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAXGOE,290.6,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-]
GAZBEQ,263,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-]
GECCUM,294.2,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-]
GECPEL,288.4,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GECPIP,296.2,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-]
