ID,BDE(kJ/mol),smiles
AGIXUM,285.8,O=[N+]1O[N-]C(=C1[C@H](c1cccc(c1)[N+](=O)[O-])C)c1cccc(c1)[N+](=O)[O-]
AGUNUN,292.4,CCO[C@@H](n1ncc2c1cccc2[N+](=O)[O-])C
AHADOE,230.8,COc1cccc(c1)[C@@H](C/C(=c\1/cccc[n+]1=O)/[O-])C[N+](=O)[O-]
AHIDAY,260.3,Oc1ccccc1/C=N/N(c1ccccc1[N+](=O)[O-])c1ccccc1
AKEDUR,269.3,Oc1ccccc1C(=O)c1cn(C)c(=O)c(c1)[N+](=O)[O-]
AKUPIG,207.1,[O-][N+](=O)C([C@H]1OC(=N)c2c1cccc2)(C)C
AKUPUS,212.2,OC[C@@H]([C@@H]1NC(=O)c2c1cccc2)[N+](=O)[O-]
AMNBOZ,292.5,CC(=O)N1OCCc2c([C@H]1C)cc(cc2)[N+](=O)[O-]
AMNIFL,302.9,Nc1ccc2c(c1)Cc1c2ccc(c1)[N+](=O)[O-]
AMNPHA,311.9,[O-][N+](=O)c1ccc(c(c1)O)N
AMNTPY,304.1,[O-][N+](=O)c1cccnc1N
ANOQUR,273.9,N#C[C@H](c1ccccc1[N+](=O)[O-])CC1=CCCCC1=O
ANTZCO,161.2,[O-][N+](=O)N1CN(CN(CN(C1)C(=O)C)[N+](=O)[O-])C(=O)C
AOMOQU,268.8,COc1cc([N+](=O)[O-])c2c(c1OC(=O)C)cccn2
AREJEO,151.4,O/N=C/1\[C@@H](CCc2c1cccc2)[N+](=O)[O-]
ARIFUD,317.5,OCCCn1c(C)ncc1[N+](=O)[O-]
ATOPOP,289.7,Cc1cccc(c1/N=C/c1ccc(cc1)[N+](=O)[O-])C
ATUJIK,298.6,[O-][N+](=O)c1ccc(c2c1non2)NCCN1CCOCC1
AVALEQ,271.7,O=C1C=CN2[C@@H]([C@H]1C)C=Cc1c2cccc1[N+](=O)[O-]
AWUJIM,290.2,COc1ccc(cc1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AWULAG,286.2,COc1ccccc1/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AXAFIP,263.1,O=C1Nc2cccc(c2C(=O)N2[C@@H]1CCC2)[N+](=O)[O-]
AYALOC,149.4,[O-][N+](=O)OC[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42CO[N+](=O)[O-]
AYAMIX,309.9,C=CCn1c(/C=C/C=C/N(C)C)nc2c1cc(cc2)[N+](=O)[O-]
AYECEM,299.9,[O-][N+](=O)c1c(C(=O)N2CCOC2=O)n(nc1CC)C
AYUGUX01,304.7,Cc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
