ID,Density(g/cm^3),smiles
DAVQOH,1.6316,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
DAVXAZ,1.5524,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,1.592,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXIH,1.5197,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,1.5026,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,1.4955,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVYAA,1.4969,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O
DAWNAQ,1.4156,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAWNEU,1.4189,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAXMUL,1.5512,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-]
DAYPUP,1.4038,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,1.2714,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,1.4445,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,1.4869,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,1.6171,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,1.6643,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,1.6965,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,1.7522,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,1.2998,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,1.4654,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,1.4773,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,1.5341,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,1.545,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,1.5013,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,1.4783,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,1.3392,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,1.3514,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,1.4533,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,1.5166,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,1.4344,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,1.543,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,1.3378,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,1.5059,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,1.5375,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,1.379,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,1.4272,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,1.2227,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,1.395,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,1.7674,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,1.232,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,1.4152,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,1.5353,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,1.3649,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,1.2704,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,1.8757,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,1.3622,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,1.3953,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,1.868,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,1.3627,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,1.3494,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,1.2826,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,1.4379,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,1.3887,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,1.4993,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,1.5754,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,1.544,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,1.4505,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,1.7091,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,1.5942,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,1.6545,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,1.6719,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,1.7059,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,1.4285,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,1.6804,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,1.454,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,1.59,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,1.3517,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,1.4794,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,1.3471,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,1.3585,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,1.2904,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,1.3278,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,1.4034,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,1.7217,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,1.6361,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,1.5317,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,1.2324,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,1.4138,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,1.4693,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,1.3624,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,1.2685,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,1.3747,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,1.4937,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,1.4596,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,1.3222,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,1.5597,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,1.4089,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,1.7244,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,1.4443,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,1.5594,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,1.5291,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,1.2626,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,1.5898,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,1.4933,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,1.3606,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,1.4493,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,1.5201,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,1.3835,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,1.4055,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,1.3547,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,1.3192,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,1.9071,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,1.3973,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,1.5133,[O-][N+](=O)/C=C\N
EDOREW,1.7724,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,1.4105,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,1.3898,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,1.3855,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,1.35,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,1.5488,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,1.3377,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,1.3199,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,1.6638,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,1.3828,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,1.4776,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,1.3195,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,1.4184,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,1.4205,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,1.7465,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,1.3048,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,1.8272,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,1.7925,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,1.8586,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,1.6079,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,1.3082,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,1.7045,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,1.459,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,1.4463,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,1.3616,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,1.3503,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,1.4207,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,1.5447,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,1.5756,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,1.369,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,1.3438,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,1.2946,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,1.4044,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,1.7658,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,1.443,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,1.501,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,1.3009,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,1.3382,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,1.3556,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,1.425,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,1.437,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,1.4954,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,1.3875,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,1.5486,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,1.3843,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,1.4502,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,1.5764,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,1.4917,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,1.3286,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,1.3961,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,1.4599,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,1.5897,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,1.6041,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,1.7339,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,1.4988,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,1.571,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,1.4022,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,1.3724,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,1.767,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,1.5831,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,1.4129,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,1.385,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,1.3828,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,1.3143,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,1.4118,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,1.376,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,1.284,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,1.8092,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,1.2832,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,1.364,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,1.5115,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,1.7118,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,1.3731,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,1.3859,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,1.419,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,1.2861,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,1.3279,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,1.2488,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,1.3179,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,1.4021,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,1.5086,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,1.5626,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,1.4442,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,1.295,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,1.4814,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,1.7674,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,1.4579,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,1.3589,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,1.4159,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,1.4367,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,1.3545,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,1.4369,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,1.5965,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,1.5764,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,1.3552,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,1.4979,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,1.8301,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,1.4281,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,1.4739,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,1.394,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,1.4628,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,1.2713,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,1.6948,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,1.4619,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,1.438,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,1.4635,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,1.7155,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,1.2629,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,1.3874,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,1.3615,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,1.3343,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,1.4922,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,1.4031,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,1.4015,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,1.3773,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,1.6034,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,1.3591,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,1.3887,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,1.4447,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,1.4589,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,1.3124,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,1.4055,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,1.4038,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,1.6719,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,1.3548,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,1.6489,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,1.8204,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,1.5603,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,1.3764,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,1.494,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,1.5353,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,1.4779,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,1.3687,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,1.3126,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,1.3678,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,1.5129,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,1.3663,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,1.4898,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,1.5461,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,1.4873,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,1.4537,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,1.8273,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,1.5834,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
