ID,Density(g/cm^3),smiles
BABRIF,1.543,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1
BAFGUL01,1.5823,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-]
BAFHAS,1.517,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAFHEW,1.5584,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAJBUJ,1.4871,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC
BAKLII,1.8905,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O
BAKXOB,1.6954,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BALYAR,1.46,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
BANFIG,1.5156,NNC(=O)c1cccc(c1)[N+](=O)[O-]
BANHOO01,1.3732,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
BAPXIB,1.475,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,1.6819,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,1.4399,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,1.6504,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,1.4813,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,1.6603,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,1.3191,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,1.3586,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,1.3617,COc1cc(ccc1[N+](=O)[O-])N(C)C
