ID,DetoD(m/s),smiles
BAFHAS,5335,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAFHEW,5427,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAJBUJ,4419,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC
BAKLII,7908,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O
BAKXOB,6431,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BALYAR,4733,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
BANFIG,5526,NNC(=O)c1cccc(c1)[N+](=O)[O-]
BANHOO01,4129,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
BAPXIB,4886,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,6456,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,4480,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,5895,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,4535,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,6206,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,4819,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,4925,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,4982,COc1cc(ccc1[N+](=O)[O-])N(C)C
BCBDNT,6616,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2
BCONBZ10,4868,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1
BEBVUZ,4066,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
BEDROT,5039,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
BEDWOX01,4913,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-]
BEKDAW,4680,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-]
BELMOU,5167,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1
BENVEW,6103,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
BEPQET,3922,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
BEQTUP,4586,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-]
BETVUR,3925,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2
BETWAY,3973,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2
BEXWEI,4504,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C
BEYZEK,5095,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
BICNUW,5344,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-]
BICWEP,7653,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
BIHVIY,4795,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-]
BIHVOE,6481,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BIHVUK,4583,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
BIKKUE,3894,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1
BILMAM,4040,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1
BINROF,6722,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-]
BINSAS,8490,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2
BINSUM,8492,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
BIPGOZ,5004,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-]
BIPJUF,6434,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BIVKUM,4843,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1
BIVQAB,4374,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C
BIVVOU,4120,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
BIXCOD,5104,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C
BIXCUJ,5084,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C
BOBMAG01,5034,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
BOCPIS,5249,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C
BOCROA,4486,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
BOCYOI,4851,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
BOGSIA,5636,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOJDOU,4467,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
BOLPEX,5670,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-]
BOMHAM,5024,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-]
BOPQUU,4076,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
BOQHEU,4988,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOQJAS,4953,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-]
BOQWUZ,8355,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-]
BORHAS,5567,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
BORHIA,4727,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1
BOSVIO,6797,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-]
BOTLEC,4246,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C
BOTMUT,5212,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
BOWSIP,4879,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
BUDKER,4976,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-]
BUDVEC,4810,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
BUDVIH,5010,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C
BUFDUC,4582,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O
BUGKIY,8121,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N
BUGKOE,8745,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-]
BUNCIW,6768,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C
BURJAZ,4982,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1
BURJED,4878,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
BURKUU,6087,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BUSLUY,4089,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2
BUTDID,4210,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
BUXJAH,5061,N#Cc1cccc(c1C#N)[N+](=O)[O-]
BUYJAG,4480,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC
BUYPUG10,6573,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BUZVOH,4382,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2
BYPOXO,4974,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
BZOCYX10,4505,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1
CABLIA,3999,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
CACBUF,4192,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C
CACFOD01,5827,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,4026,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,6363,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,4250,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,4666,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,7039,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,7519,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,8926,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,5134,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CAVDAF,4558,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,4295,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,3864,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,5337,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,3898,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,4063,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,5734,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,4611,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,6792,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,4499,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,4532,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,6562,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,4543,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,4256,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,7466,[O-][N+](=O)c1n[nH]cn1
CIGSUJ,8104,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,4395,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,4297,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,5798,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,7980,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,6554,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,4701,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,4746,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
