ID,DetoT(K),smiles,DetoT
DARQUJ,1202,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.202
DARRAQ,1663,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,1.663
DARWAX,1776,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-],1.776
DARWEB,1374,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-],1.374
DATGEL,1654,[O-][N+](=O)c1ccc(c(c1N)C)C,1.654
DATNBZ01,3079,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,3.079
DAVKET,1236,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-],1.236
DAVQOH,1505,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-],1.505
DAVXAZ,3124,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],3.124
DAVXED,3125,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],3.125
DAVXIH,2730,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],2.73
DAVXON,2685,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O,2.685
DAVXUT,2678,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O,2.678
DAVYAA,2218,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O,2.218
DAWNAQ,2641,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],2.641
DAWNEU,2640,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],2.64
DAXMUL,1480,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-],1.48
DAYPUP,1981,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-],1.981
DEGLEH,1128,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1,1.128
DEJWEU,1796,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.796
DEJWIY,2196,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.196
DEKYUO,2151,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O,2.151
DEKZAV,2068,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O,2.068
DEKZEZ,2097,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O,2.097
DEKZID,2030,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O,2.03
DELPEQ,2148,CC(=NNc1ccccc1[N+](=O)[O-])C,2.148
DELXEX,2193,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-],2.193
DELXOH,1742,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34,1.742
DELZAV,1839,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-],1.839
DELZEZ,2247,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-],2.247
DEMNIS,2791,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-],2.791
DEMNOY,2782,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-],2.782
DEMNUE,2335,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C,2.335
DEMPAM,2319,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-],2.319
DEMPIU,2260,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-],2.26
DEMSOD,2465,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],2.465
DENCAA,1601,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-],1.601
DEPVUP,2386,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-],2.386
DEQPUN,1359,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-],1.359
DEWBOW,1284,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-],1.284
DEXJAU,1384,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-],1.384
DEXVAE,1207,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1,1.207
DEXVUY,1188,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-],1.188
DEYRUV,1109,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-],1.109
DEZTAD,1333,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1,1.333
DIBRUE,3557,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-],3.557
DIDHIJ,1982,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-],1.982
DIDWIY,1690,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O,1.69
DIFPUF,1873,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2,1.873
DIHNOY,1663,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1,1.663
DIJPAO,1031,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-],1.031
DILFUZ,4761,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4.761
DIMNAN03,1995,CN(c1ccc(cc1)[N+](=O)[O-])C,1.995
DIPHUI,1695,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-],1.695
DIQRON,3991,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-],3.991
DIWFEU,1312,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-],1.312
DIWSUY,1109,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC,1.109
DIWWEL02,1597,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C,1.597
DIXDUJ,1598,CC(=O)Nc1ccccc1[N+](=O)[O-],1.598
DMNPPO,1154,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-],1.154
DMNPYO,2658,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-],2.658
DNBENZ10,2598,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],2.598
DNBZIL,1616,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],1.616
DNCOOC,2839,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-],2.839
DNEDAM,4737,[O-][N+](=O)NCCN[N+](=O)[O-],4.737
DNEIBA,2525,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-],2.525
DNITPY,2953,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-],2.953
DNOPHL03,2537,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O,2.537
DNPHOL,2551,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],2.551
DNPIMZ,3190,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C,3.19
DNPMTA,3849,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-],3.849
DNTDPH,1714,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-],1.714
DNTNAP10,1932,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-],1.932
DOHFEL,1257,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1,1.257
DOJHAM,2386,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C,2.386
DOKSIG,1729,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C,1.729
DOKVUV,1153,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1,1.153
DOKYEH,1252,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1,1.252
DOKYIL,1213,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1,1.213
DOKZIN,1661,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-],1.661
DOLTAZ,1603,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2,1.603
DOPLOL05,2234,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N,2.234
DORKOL,2019,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],2.019
DOWGUR,1456,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-],1.456
DOYLAG,1134,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-],1.134
DOZPAL,1348,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-],1.348
DUCVUT,1683,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-],1.683
DUCXEF,1975,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C,1.975
DUDHOB,1664,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C,1.664
DUDNOH,1823,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-],1.823
DUDZIL,1221,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-],1.221
DUJMAW,1539,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-],1.539
DUJQOP,1424,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O,1.424
DUJSIL,1465,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-],1.465
DUKLAX,3262,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.262
DUMPAC,3776,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C,3.776
DUMPEG,3981,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1,3.981
DUMSAG,2134,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],2.134
DUPHIF,2781,CN(C(=C[N+](=O)[O-])N(C)C)C,2.781
DUPHOL,2658,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C,2.658
DUPJUV,1798,[O-][N+](=O)Cc1nnc(o1)c1ccccc1,1.798
DUSNUB,1721,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1,1.721
DUTQAL,1852,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-],1.852
DUTQOZ,1437,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1,1.437
DUXCEF,930,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1,0.93
DUXSIY,2307,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N,2.307
EBURUR,991,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C,0.991
ECIBIB01,2373,CN(c1ccccc1)[N+](=O)[O-],2.373
ECUXOQ,4220,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-],4.22
EDASOR,1872,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-],1.872
EDAWIP,3437,[O-][N+](=O)/C=C\N,3.437
EDOREW,3291,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-],3.291
EFATOW,1960,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-],1.96
EGUQIG,1449,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O,1.449
EGUQOM,1442,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O,1.442
EGUQUS,1485,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O,1.485
EGURIH,1758,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.758
EGUZIQ,1504,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-],1.504
EHECAV,1325,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-],1.325
EIMTNB,3220,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-],3.22
EJEJOS,1236,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1,1.236
EJEPUE,2197,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-],2.197
EJEYID,1495,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1,1.495
EKAHOP,1817,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2,1.817
EKAJAD,1429,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1,1.429
EKELAH,4146,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-],4.146
ELEJUB,1216,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],1.216
ELIGEN01,3943,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-],3.943
ELIGOX,3029,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-],3.029
ELIGUD,3712,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-],3.712
ELOXOS,1960,[O-][N+](=O)c1ccc(=O)[nH]c1,1.96
EMAWUL,1461,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O,1.461
EMAZUO,2477,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-],2.477
EMEDOQ,1008,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2,1.008
EMEDUW,1161,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2,1.161
EMOLEZ,1495,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O,1.495
EMOYIO,1317,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-],1.317
ENIZEG,1173,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C,1.173
ENPROP,2483,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-],2.483
EPATAR,1357,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O,1.357
EQASOG,1336,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1,1.336
EQAWEA,1742,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C,1.742
EQEBIN,1239,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-],1.239
ERAWEB,1467,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2,1.467
ERETAW,3256,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-],3.256
ERIWIL,1773,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-],1.773
ERUDAX,1476,COC(=O)Nc1ccc(cc1)[N+](=O)[O-],1.476
ERUSUH,955,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-],0.955
ESAMUI,1070,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-],1.07
ESANIX,1161,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-],1.161
ESIRIJ,2387,[O-][N+](=O)c1cccc2c1CN2,2.387
ESIRUV,1195,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1,1.195
ESOLAB,1790,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-],1.79
ETOGOJ,1639,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-],1.639
ETUTIY,1792,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-],1.792
EVALOD,1236,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1,1.236
EVINOM,1115,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2,1.115
EVIXEM,2258,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-],2.258
EVOPIO,1593,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-],1.593
EVULOW,1834,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C,1.834
EVULUC,1878,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC,1.878
EVUMIR,2139,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-],2.139
EWEVIM02,1406,OC(=O)c1ccc(cc1N)[N+](=O)[O-],1.406
EWUKAI,1479,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-],1.479
EWUKIQ01,3930,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-],3.93
EXOQEO,1518,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-],1.518
EYEFOE,1795,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-],1.795
EYIFEZ,2528,[O-][N+](=O)c1ccc(c2c1non2)NCCCC,2.528
EYOGAC,1635,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-],1.635
EYOVIX,3129,COc1c2nonc2c2c(c1[N+](=O)[O-])non2,3.129
EYUFEJ,2355,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-],2.355
EZAYAF,1425,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-],1.425
EZEGAS,1563,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC,1.563
EZEGEW,1544,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC,1.544
EZESOS,1750,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C,1.75
EZESUY,1810,[O-][N+](=O)c1ccccc1c1cc[nH]n1,1.81
EZETAF,1420,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-],1.42
EZICUM,1097,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-],1.097
FABHUL,4005,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-],4.005
FABJAW,1267,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1,1.267
FABRAD,1536,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C,1.536
FABROP10,1834,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-],1.834
FACQAE,4140,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1,4.14
FACYAK,1238,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1,1.238
FADGOG,1566,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C,1.566
FADGUM,1537,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C,1.537
FADKIF,1160,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.16
FADTOW,1437,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C,1.437
FAJYIY,1324,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C,1.324
FAKVOC,1514,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C,1.514
FAKVUI,1521,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1,1.521
FAKWET,1939,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-],1.939
FASGAH,1092,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1,1.092
FAWWIJ,2691,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C,2.691
FECJEE,919,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1,0.919
FEFHUW,1760,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1,1.76
FEFXUM,3611,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-],3.611
FEGFIG,1170,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C,1.17
FEMSOH,1294,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N,1.294
FENDEH,1538,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-],1.538
FENQEV,1989,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.989
FEPFIP,1228,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-],1.228
FEPJIT,1801,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-],1.801
FESNEW16,2606,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],2.606
FESNIA01,2714,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],2.714
FETRAY,1351,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C,1.351
FEXBUF,2620,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-],2.62
FEYLUQ01,4307,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-],4.307
FIBLIL,1886,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1,1.886
FICDOK,2622,COc1n(C)cnc1[N+](=O)[O-],2.622
FIDCIF,1563,[O-][N+](=O)c1cccnc1OCc1ccccc1,1.563
FIDHIL,1640,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N,1.64
FIDKIM,1144,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C,1.144
FIJHAH,2231,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.231
FIKXAY,2081,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-],2.081
FINNIA,1898,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-],1.898
FINVEG,1525,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1,1.525
FIPZIN,4806,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N,4.806
FIWGEY,1234,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.234
FIWLEF,2357,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,2.357
FIWLIJ,1894,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,1.894
FIYKEG,1161,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C,1.161
FIZFOL,1901,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O,1.901
FOBZUS,1268,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2,1.268
FOCCEI,1002,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-],1.002
FOCXUR01,1354,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2,1.354
FOHMUK,4164,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-],4.164
FOKTOO,1031,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-],1.031
FOKTUU,1030,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-],1.03
FOMQEE,1951,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C,1.951
FOVVAN,2071,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1,2.071
FOVXAP,1442,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C,1.442
FOVYOE11,1548,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-],1.548
FOXCAY,1515,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N,1.515
FUGVEJ,3363,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],3.363
FUHSEG,1910,N#C/C(=C\c1ccccc1)/[N+](=O)[O-],1.91
FUJSOS,2778,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-],2.778
FUJXEO,4715,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N,4.715
FULKUS,1925,[O-][N+](=O)c1cccc2c1[nH]nc2,1.925
