ID,DetoT(K),smiles,DetoT
AZORUD,1009,[O-][N+](=O)c1ccc(cc1)/N=C/c1c2ccccc2cc2c1cccc2,1.009
BABBUB,3208,[O-][N+](=O)N=C1NCCN1,3.208
BABRIF,2785,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1,2.785
BAFGUL01,1927,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-],1.927
BAFHAS,1937,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.937
BAFHEW,1930,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.93
BAJBUJ,1011,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC,1.011
BAKLII,2984,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O,2.984
BAKXOB,2300,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.3
BALYAR,1439,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C,1.439
BANFIG,2013,NNC(=O)c1cccc(c1)[N+](=O)[O-],2.013
BANHOO01,1385,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N,1.385
BAPXIB,1473,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC,1.473
BAQLUD,2118,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-],2.118
BASCAC,1441,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1,1.441
BATGIN,1799,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-],1.799
BAVTAT,1245,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-],1.245
BAYXIJ,1985,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.985
BAZPIC,1907,CN(c1ccc(cc1N)[N+](=O)[O-])C,1.907
BAZPOI,1929,CN(c1ccc(c(c1)N)[N+](=O)[O-])C,1.929
BAZPUO,2102,COc1cc(ccc1[N+](=O)[O-])N(C)C,2.102
BCBDNT,2963,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2,2.963
BCONBZ10,1840,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1,1.84
BEBVUZ,1427,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1,1.427
BEDROT,1545,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-],1.545
BEDWOX01,1348,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-],1.348
BEKDAW,1603,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-],1.603
BELMOU,1890,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1,1.89
BENVEW,3042,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C,3.042
BEPQET,1134,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2,1.134
BEQTUP,1449,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-],1.449
BETVUR,1126,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2,1.126
BETWAY,1154,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2,1.154
BEXWEI,1460,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C,1.46
BEYZEK,1493,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-],1.493
BICNUW,2023,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-],2.023
BICWEP,2749,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,2.749
BIHVIY,1620,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-],1.62
BIHVOE,2471,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.471
BIHVUK,1671,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-],1.671
BIKKUE,1255,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1,1.255
BILMAM,1269,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1,1.269
BINROF,2933,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-],2.933
BINSAS,3687,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2,3.687
BINSUM,3834,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3.834
BIPGOZ,1944,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-],1.944
BIPJUF,2118,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-],2.118
BIVKUM,2083,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1,2.083
BIVQAB,1442,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C,1.442
BIVVOU,1187,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-],1.187
BIXCOD,2327,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C,2.327
BIXCUJ,2325,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C,2.325
BOBMAG01,1742,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],1.742
BOCPIS,2432,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C,2.432
BOCROA,1471,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-],1.471
BOCYOI,1891,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-],1.891
BOGSIA,2616,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],2.616
BOJDOU,1416,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],1.416
BOLPEX,1420,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-],1.42
BOMHAM,1362,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-],1.362
BOPQUU,1101,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1,1.101
BOQHEU,1916,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-],1.916
BOQJAS,1681,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-],1.681
BOQWUZ,3050,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-],3.05
BORHAS,2140,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC,2.14
BORHIA,1574,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1,1.574
BOSVIO,2200,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-],2.2
BOTLEC,1313,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C,1.313
BOTMUT,1777,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],1.777
BOWSIP,1862,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C,1.862
BUDKER,1811,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-],1.811
BUDVEC,2227,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-],2.227
BUDVIH,1881,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C,1.881
BUFDUC,1530,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O,1.53
BUGKIY,3881,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N,3.881
BUGKOE,4327,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-],4.327
BUNCIW,3165,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C,3.165
BURJAZ,1662,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1,1.662
BURJED,1665,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.665
BURKUU,2530,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],2.53
BUSLUY,1672,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2,1.672
